Index,Predicted,Correct,Prompt,Response,Rouge_Score,Bleu_Score,Containing
36,The New England Patriots lost to the Broncos in the AFC Championship.,New England Patriots,"You are posed with a question answering task. You are given a context containing relevant information and a question about the content. The answer is contained within the context. Answer the question as concisely as possible. Do not add any extra context.

Context: The Panthers finished the regular season with a 15–1 record, and quarterback Cam Newton was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Championship Game and advanced to their second Super Bowl appearance since the franchise was founded in 1995. The Broncos finished the regular season with a 12–4 record, and denied the New England Patriots a chance to defend their title from Super Bowl XLIX by defeating them 20–18 in the AFC Championship Game. They joined the Patriots, Dallas Cowboys, and Pittsburgh Steelers as one of four teams that have made eight appearances in the Super Bowl.

Question: Who lost to the Broncos in the AFC Championship?",The New England Patriots lost to the Broncos in the AFC Championship.,0.4,0.08430118946484098,1.0
38,"Four teams have been in the Super Bowl eight times: the Broncos, Patriots, Dallas Cowboys, and Pittsburgh Steelers.",four,"You are posed with a question answering task. You are given a context containing relevant information and a question about the content. The answer is contained within the context. Answer the question as concisely as possible. Do not add any extra context.

Context: The Panthers finished the regular season with a 15–1 record, and quarterback Cam Newton was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Championship Game and advanced to their second Super Bowl appearance since the franchise was founded in 1995. The Broncos finished the regular season with a 12–4 record, and denied the New England Patriots a chance to defend their title from Super Bowl XLIX by defeating them 20–18 in the AFC Championship Game. They joined the Patriots, Dallas Cowboys, and Pittsburgh Steelers as one of four teams that have made eight appearances in the Super Bowl.

Question: How many teams have been in the Super Bowl eight times?","Four teams have been in the Super Bowl eight times: the Broncos, Patriots, Dallas Cowboys, and Pittsburgh Steelers.",0.10526315789473684,0.0,1.0
44,The New England Patriots did not get a chance to defend their Super Bowl XLIX win in Super Bowl 50.,New England Patriots,"You are posed with a question answering task. You are given a context containing relevant information and a question about the content. The answer is contained within the context. Answer the question as concisely as possible. Do not add any extra context.

Context: The Panthers finished the regular season with a 15–1 record, and quarterback Cam Newton was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Championship Game and advanced to their second Super Bowl appearance since the franchise was founded in 1995. The Broncos finished the regular season with a 12–4 record, and denied the New England Patriots a chance to defend their title from Super Bowl XLIX by defeating them 20–18 in the AFC Championship Game. They joined the Patriots, Dallas Cowboys, and Pittsburgh Steelers as one of four teams that have made eight appearances in the Super Bowl.

Question: Which team did not get a chance to defend their Super Bowl XLIX win in Super Bowl 50?",The New England Patriots did not get a chance to defend their Super Bowl XLIX win in Super Bowl 50.,0.2608695652173913,0.0476608251305123,1.0
46,The Panthers defeated the Arizona Cardinals 49-15 in the NFC Championship Game.,Arizona Cardinals,"You are posed with a question answering task. You are given a context containing relevant information and a question about the content. The answer is contained within the context. Answer the question as concisely as possible. Do not add any extra context.

Context: The Panthers finished the regular season with a 15–1 record, and quarterback Cam Newton was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Championship Game and advanced to their second Super Bowl appearance since the franchise was founded in 1995. The Broncos finished the regular season with a 12–4 record, and denied the New England Patriots a chance to defend their title from Super Bowl XLIX by defeating them 20–18 in the AFC Championship Game. They joined the Patriots, Dallas Cowboys, and Pittsburgh Steelers as one of four teams that have made eight appearances in the Super Bowl.

Question: Who did Carolina beat in the NFC championship game?",The Panthers defeated the Arizona Cardinals 49-15 in the NFC Championship Game.,0.2666666666666667,0.03602080288207364,1.0
48,Denver defeated the New England Patriots 20-18 in the AFC Championship Game.,New England Patriots,"You are posed with a question answering task. You are given a context containing relevant information and a question about the content. The answer is contained within the context. Answer the question as concisely as possible. Do not add any extra context.

Context: The Panthers finished the regular season with a 15–1 record, and quarterback Cam Newton was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Championship Game and advanced to their second Super Bowl appearance since the franchise was founded in 1995. The Broncos finished the regular season with a 12–4 record, and denied the New England Patriots a chance to defend their title from Super Bowl XLIX by defeating them 20–18 in the AFC Championship Game. They joined the Patriots, Dallas Cowboys, and Pittsburgh Steelers as one of four teams that have made eight appearances in the Super Bowl.

Question: Who did Denver beat in the AFC championship?",Denver defeated the New England Patriots 20-18 in the AFC Championship Game.,0.375,0.08430118946484098,1.0
50,The Denver Broncos defeated the New England Patriots in the 2015 AFC Championship game.,New England Patriots,"You are posed with a question answering task. You are given a context containing relevant information and a question about the content. The answer is contained within the context. Answer the question as concisely as possible. Do not add any extra context.

Context: The Panthers finished the regular season with a 15–1 record, and quarterback Cam Newton was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Championship Game and advanced to their second Super Bowl appearance since the franchise was founded in 1995. The Broncos finished the regular season with a 12–4 record, and denied the New England Patriots a chance to defend their title from Super Bowl XLIX by defeating them 20–18 in the AFC Championship Game. They joined the Patriots, Dallas Cowboys, and Pittsburgh Steelers as one of four teams that have made eight appearances in the Super Bowl.

Question: Who did Denver beat in the 2015 AFC Championship game?",The Denver Broncos defeated the New England Patriots in the 2015 AFC Championship game.,0.35294117647058826,0.07069301148938888,1.0
51,The Carolina Panthers beat the Arizona Cardinals 49–15 in the NFC Championship Game.,Arizona Cardinals,"You are posed with a question answering task. You are given a context containing relevant information and a question about the content. The answer is contained within the context. Answer the question as concisely as possible. Do not add any extra context.

Context: The Panthers finished the regular season with a 15–1 record, and quarterback Cam Newton was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Championship Game and advanced to their second Super Bowl appearance since the franchise was founded in 1995. The Broncos finished the regular season with a 12–4 record, and denied the New England Patriots a chance to defend their title from Super Bowl XLIX by defeating them 20–18 in the AFC Championship Game. They joined the Patriots, Dallas Cowboys, and Pittsburgh Steelers as one of four teams that have made eight appearances in the Super Bowl.

Question: Who did the Carolina Panthers beat in the 2015 NFC Championship game?",The Carolina Panthers beat the Arizona Cardinals 49–15 in the NFC Championship Game.,0.25,0.03285702044797773,1.0
53,The Panthers defeated the Arizona Cardinals 49-15 to become the NFC champions.,Arizona Cardinals,"You are posed with a question answering task. You are given a context containing relevant information and a question about the content. The answer is contained within the context. Answer the question as concisely as possible. Do not add any extra context.

Context: The Panthers finished the regular season with a 15–1 record, and quarterback Cam Newton was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Championship Game and advanced to their second Super Bowl appearance since the franchise was founded in 1995. The Broncos finished the regular season with a 12–4 record, and denied the New England Patriots a chance to defend their title from Super Bowl XLIX by defeating them 20–18 in the AFC Championship Game. They joined the Patriots, Dallas Cowboys, and Pittsburgh Steelers as one of four teams that have made eight appearances in the Super Bowl.

Question: Who did the Panthers beat to become the NFC champs?",The Panthers defeated the Arizona Cardinals 49-15 to become the NFC champions.,0.2666666666666667,0.03602080288207364,1.0
57,The Broncos held the scoring lead throughout the entire game.,Broncos,"You are posed with a question answering task. You are given a context containing relevant information and a question about the content. The answer is contained within the context. Answer the question as concisely as possible. Do not add any extra context.

Context: The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's defense, which sacked him seven times and forced him into three turnovers, including a fumble which they recovered for a touchdown. Denver linebacker Von Miller was named Super Bowl MVP, recording five solo tackles, 2½ sacks, and two forced fumbles.

Question: Which team held the scoring lead throughout the entire game?",The Broncos held the scoring lead throughout the entire game.,0.18181818181818182,0.021105340631872645,1.0
61,Cam Newton was sacked seven times.,seven,"You are posed with a question answering task. You are given a context containing relevant information and a question about the content. The answer is contained within the context. Answer the question as concisely as possible. Do not add any extra context.

Context: The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's defense, which sacked him seven times and forced him into three turnovers, including a fumble which they recovered for a touchdown. Denver linebacker Von Miller was named Super Bowl MVP, recording five solo tackles, 2½ sacks, and two forced fumbles.

Question: How many times was Cam Newton sacked?",Cam Newton was sacked seven times.,0.2857142857142857,0.040824829046386304,1.0
63,Cam Newton had three turnovers.,three,"You are posed with a question answering task. You are given a context containing relevant information and a question about the content. The answer is contained within the context. Answer the question as concisely as possible. Do not add any extra context.

Context: The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's defense, which sacked him seven times and forced him into three turnovers, including a fumble which they recovered for a touchdown. Denver linebacker Von Miller was named Super Bowl MVP, recording five solo tackles, 2½ sacks, and two forced fumbles.

Question: How many turnovers did Cam Newton have?",Cam Newton had three turnovers.,0.33333333333333337,0.05372849659117709,1.0
66,Von Miller plays as a linebacker for the Denver Broncos.,linebacker,"You are posed with a question answering task. You are given a context containing relevant information and a question about the content. The answer is contained within the context. Answer the question as concisely as possible. Do not add any extra context.

Context: The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's defense, which sacked him seven times and forced him into three turnovers, including a fumble which they recovered for a touchdown. Denver linebacker Von Miller was named Super Bowl MVP, recording five solo tackles, 2½ sacks, and two forced fumbles.

Question: What position does Von Miller play for the Denver Broncos?",Von Miller plays as a linebacker for the Denver Broncos.,0.18181818181818182,0.021105340631872645,1.0
70,Von Miller had 5 solo tackles.,5,"You are posed with a question answering task. You are given a context containing relevant information and a question about the content. The answer is contained within the context. Answer the question as concisely as possible. Do not add any extra context.

Context: The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's defense, which sacked him seven times and forced him into three turnovers, including a fumble which they recovered for a touchdown. Denver linebacker Von Miller was named Super Bowl MVP, recording five solo tackles, 2½ sacks, and two forced fumbles.

Question: How many tackles did Von Miller get during the game?",Von Miller had 5 solo tackles.,0.2857142857142857,0.040824829046386304,1.0
73,A fumble that was recovered for a touchdown.,a fumble,"You are posed with a question answering task. You are given a context containing relevant information and a question about the content. The answer is contained within the context. Answer the question as concisely as possible. Do not add any extra context.

Context: The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's defense, which sacked him seven times and forced him into three turnovers, including a fumble which they recovered for a touchdown. Denver linebacker Von Miller was named Super Bowl MVP, recording five solo tackles, 2½ sacks, and two forced fumbles.

Question: Which Newton turnover resulted in seven points for Denver?",A fumble that was recovered for a touchdown.,0.4,0.03303164318013808,1.0
77,The Broncos caused four turnovers: three by sacking Newton and one by recovering his fumble for a touchdown.,three,"You are posed with a question answering task. You are given a context containing relevant information and a question about the content. The answer is contained within the context. Answer the question as concisely as possible. Do not add any extra context.

Context: The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's defense, which sacked him seven times and forced him into three turnovers, including a fumble which they recovered for a touchdown. Denver linebacker Von Miller was named Super Bowl MVP, recording five solo tackles, 2½ sacks, and two forced fumbles.

Question: How many times did the Broncos cause turnovers in the game?",The Broncos caused four turnovers: three by sacking Newton and one by recovering his fumble for a touchdown.,0.10526315789473684,0.010802314890908065,1.0
93,The Super Bowl 50 halftime show is the third-most watched U.S. broadcast ever.,third,"You are posed with a question answering task. You are given a context containing relevant information and a question about the content. The answer is contained within the context. Answer the question as concisely as possible. Do not add any extra context.

Context: CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commercial during the game. The Super Bowl 50 halftime show was headlined by the British rock group Coldplay with special guest performers Beyoncé and Bruno Mars, who headlined the Super Bowl XLVII and Super Bowl XLVIII halftime shows, respectively. It was the third-most watched U.S. broadcast ever.

Question: What ranking does the Super Bowl 50 halftime show have on the list of most watched TV broadcasts?",The Super Bowl 50 halftime show is the third-most watched U.S. broadcast ever.,0.125,0.0,1.0
114,"""Spectacular"" and ""an important game for us as a league"".",spectacular,"You are posed with a question answering task. You are given a context containing relevant information and a question about the content. The answer is contained within the context. Answer the question as concisely as possible. Do not add any extra context.

Context: In early 2012, NFL Commissioner Roger Goodell stated that the league planned to make the 50th Super Bowl ""spectacular"" and that it would be ""an important game for us as a league"".

Question: In early 2012, Goodell said that Super Bowl 50 would be what?","""Spectacular"" and ""an important game for us as a league"".",0.18181818181818182,0.0,1.0
135,The South Florida/Miami area has previously hosted the Super Bowl 10 times.,10,"You are posed with a question answering task. You are given a context containing relevant information and a question about the content. The answer is contained within the context. Answer the question as concisely as possible. Do not add any extra context.

Context: The league announced on October 16, 2012, that the two finalists were Sun Life Stadium and Levi's Stadium. The South Florida/Miami area has previously hosted the event 10 times (tied for most with New Orleans), with the most recent one being Super Bowl XLIV in 2010. The San Francisco Bay Area last hosted in 1985 (Super Bowl XIX), held at Stanford Stadium in Stanford, California, won by the home team 49ers. The Miami bid depended on whether the stadium underwent renovations. However, on May 3, 2013, the Florida legislature refused to approve the funding plan to pay for the renovations, dealing a significant blow to Miami's chances.

Question: How many times has the South Florida/Miami area hosted the Super Bowl?",The South Florida/Miami area has previously hosted the Super Bowl 10 times.,0.14285714285714288,0.017033186037639283,1.0
137,Super Bowl XLIV in 2010.,2010,"You are posed with a question answering task. You are given a context containing relevant information and a question about the content. The answer is contained within the context. Answer the question as concisely as possible. Do not add any extra context.

Context: The league announced on October 16, 2012, that the two finalists were Sun Life Stadium and Levi's Stadium. The South Florida/Miami area has previously hosted the event 10 times (tied for most with New Orleans), with the most recent one being Super Bowl XLIV in 2010. The San Francisco Bay Area last hosted in 1985 (Super Bowl XIX), held at Stanford Stadium in Stanford, California, won by the home team 49ers. The Miami bid depended on whether the stadium underwent renovations. However, on May 3, 2013, the Florida legislature refused to approve the funding plan to pay for the renovations, dealing a significant blow to Miami's chances.

Question: When was the most recent Super Bowl hosted in the South Florida/Miami area?",Super Bowl XLIV in 2010.,0.33333333333333337,0.0,1.0
138,The San Francisco Bay Area last hosted the Super Bowl in 1985 (Super Bowl XIX).,1985,"You are posed with a question answering task. You are given a context containing relevant information and a question about the content. The answer is contained within the context. Answer the question as concisely as possible. Do not add any extra context.

Context: The league announced on October 16, 2012, that the two finalists were Sun Life Stadium and Levi's Stadium. The South Florida/Miami area has previously hosted the event 10 times (tied for most with New Orleans), with the most recent one being Super Bowl XLIV in 2010. The San Francisco Bay Area last hosted in 1985 (Super Bowl XIX), held at Stanford Stadium in Stanford, California, won by the home team 49ers. The Miami bid depended on whether the stadium underwent renovations. However, on May 3, 2013, the Florida legislature refused to approve the funding plan to pay for the renovations, dealing a significant blow to Miami's chances.

Question: When did the San Francisco Bay area last host the Super Bowl?",The San Francisco Bay Area last hosted the Super Bowl in 1985 (Super Bowl XIX).,0.125,0.013217947626377298,1.0
143,Super Bowl XLIV in 2010.,2010,"You are posed with a question answering task. You are given a context containing relevant information and a question about the content. The answer is contained within the context. Answer the question as concisely as possible. Do not add any extra context.

Context: The league announced on October 16, 2012, that the two finalists were Sun Life Stadium and Levi's Stadium. The South Florida/Miami area has previously hosted the event 10 times (tied for most with New Orleans), with the most recent one being Super Bowl XLIV in 2010. The San Francisco Bay Area last hosted in 1985 (Super Bowl XIX), held at Stanford Stadium in Stanford, California, won by the home team 49ers. The Miami bid depended on whether the stadium underwent renovations. However, on May 3, 2013, the Florida legislature refused to approve the funding plan to pay for the renovations, dealing a significant blow to Miami's chances.

Question: In what year was the Super Bowl last held in the Miami/South Florida area?",Super Bowl XLIV in 2010.,0.33333333333333337,0.0,1.0
153,1985 (Super Bowl XIX),1985,"You are posed with a question answering task. You are given a context containing relevant information and a question about the content. The answer is contained within the context. Answer the question as concisely as possible. Do not add any extra context.

Context: The league announced on October 16, 2012, that the two finalists were Sun Life Stadium and Levi's Stadium. The South Florida/Miami area has previously hosted the event 10 times (tied for most with New Orleans), with the most recent one being Super Bowl XLIV in 2010. The San Francisco Bay Area last hosted in 1985 (Super Bowl XIX), held at Stanford Stadium in Stanford, California, won by the home team 49ers. The Miami bid depended on whether the stadium underwent renovations. However, on May 3, 2013, the Florida legislature refused to approve the funding plan to pay for the renovations, dealing a significant blow to Miami's chances.

Question: When was the last time San Francisco hosted a Super Bowl?",1985 (Super Bowl XIX),0.4,0.08034284189446518,1.0
157,The $1.2 billion stadium opened in 2014.,2014,"You are posed with a question answering task. You are given a context containing relevant information and a question about the content. The answer is contained within the context. Answer the question as concisely as possible. Do not add any extra context.

Context: On May 21, 2013, NFL owners at their spring meetings in Boston voted and awarded the game to Levi's Stadium. The $1.2 billion stadium opened in 2014. It is the first Super Bowl held in the San Francisco Bay Area since Super Bowl XIX in 1985, and the first in California since Super Bowl XXXVII took place in San Diego in 2003.

Question: When did Lev's Stadium open?",The $1.2 billion stadium opened in 2014.,0.2222222222222222,0.0,1.0
171,The $1.2 billion stadium opened in 2014.,2014,"You are posed with a question answering task. You are given a context containing relevant information and a question about the content. The answer is contained within the context. Answer the question as concisely as possible. Do not add any extra context.

Context: On May 21, 2013, NFL owners at their spring meetings in Boston voted and awarded the game to Levi's Stadium. The $1.2 billion stadium opened in 2014. It is the first Super Bowl held in the San Francisco Bay Area since Super Bowl XIX in 1985, and the first in California since Super Bowl XXXVII took place in San Diego in 2003.

Question: When did Levi's Stadium open?",The $1.2 billion stadium opened in 2014.,0.2222222222222222,0.0,1.0
172,Super Bowl XXXVII took place in San Diego in 2003.,2003,"You are posed with a question answering task. You are given a context containing relevant information and a question about the content. The answer is contained within the context. Answer the question as concisely as possible. Do not add any extra context.

Context: On May 21, 2013, NFL owners at their spring meetings in Boston voted and awarded the game to Levi's Stadium. The $1.2 billion stadium opened in 2014. It is the first Super Bowl held in the San Francisco Bay Area since Super Bowl XIX in 1985, and the first in California since Super Bowl XXXVII took place in San Diego in 2003.

Question: When was the last Super Bowl in California?",Super Bowl XXXVII took place in San Diego in 2003.,0.18181818181818182,0.0,1.0
173,The meeting was held in Boston.,Boston,"You are posed with a question answering task. You are given a context containing relevant information and a question about the content. The answer is contained within the context. Answer the question as concisely as possible. Do not add any extra context.

Context: On May 21, 2013, NFL owners at their spring meetings in Boston voted and awarded the game to Levi's Stadium. The $1.2 billion stadium opened in 2014. It is the first Super Bowl held in the San Francisco Bay Area since Super Bowl XIX in 1985, and the first in California since Super Bowl XXXVII took place in San Diego in 2003.

Question: Where was the meeting held when the NFL owners voted on the location for Super Bowl 50?",The meeting was held in Boston.,0.2857142857142857,0.0,1.0
177,Super Bowl XXXVII took place in San Diego in 2003.,2003.,"You are posed with a question answering task. You are given a context containing relevant information and a question about the content. The answer is contained within the context. Answer the question as concisely as possible. Do not add any extra context.

Context: On May 21, 2013, NFL owners at their spring meetings in Boston voted and awarded the game to Levi's Stadium. The $1.2 billion stadium opened in 2014. It is the first Super Bowl held in the San Francisco Bay Area since Super Bowl XIX in 1985, and the first in California since Super Bowl XXXVII took place in San Diego in 2003.

Question: When was the last time California hosted a Super Bowl?",Super Bowl XXXVII took place in San Diego in 2003.,0.18181818181818182,0.021105340631872645,1.0
